7167,Dell Venue Pro,[],$4,$12
7223,Apple iPhone 4 16GB (Verizon),$13.35,$36.45,$46.20
7227,HTC Freestyle F5151,[],$3.56,$3.56
7225,HTC Inspire 4G,$6.08,$21.32,$27.52
7227,HTC Freestyle F5151,[],$3.56,$3.56
7240,Apple iPad 32gb WiFi,[],$33,$33
7243,Apple iPad 64gb WiFi,$9.60,$32,$36
7241,Apple iPad 16gb WiFi + 3G,[],$16,$16
7244,Apple iPad 16gb WiFi,[],$28,$28
7242,Apple iPad 64gb WiFi+ 3G,$12,$44,$48
7245,Apple iPad 32gb WiFi + 3G,[],$18.75,$18.75
7248,HP Slate 500 1.86ghz 64GB,[],$28,$28
7246,Asus Eee Slate 12.1-inch 32GB,$4,$56,$56
7247,Asus Eee Slate  12.1-inch 64GB,$4,$72,$72
7250,Motorola Xoom Wifi + 3G 32gb,[],$32,$32
7256,Samsung Galaxy Tab (Sprint),[],$8,$12
7256,Samsung Galaxy Tab (Sprint),[],$8,$12
7259,Samsung Galaxy Tab (U.S. Cellular),[],$8,$12
7257,Samsung Galaxy Tab (AT&T),[],$8,$12
7260,Samsung Galaxy Tab 32GB 3G (Unlocked),[],$16.80,$16.80
7263,Samsung Galaxy Tab (Verizon),[],$8.80,$12.80
7262,Samsung Galaxy Tab 16GB 3G (Unlocked),[],$8.80,$12.80
7303,Amazon Kindle DX Graphite,[],$12,$12
7303,Amazon Kindle DX Graphite,[],$12,$12
7304,Amazon Kindle 3 WiFi,[],$5.60,$5.60
7307,Amazon Kindle DX,[],$12,$12
7319,Barnes & Noble Nook Color,[],$0.80,$0.80
7320,Barnes & Noble Nook WiFi + 3G,[],$0.80,$0.80
10295,HTC Thunderbolt 4G,[],$6.30,$7
10295,HTC Thunderbolt 4G,[],$6.30,$7
10303,Motrola Atrix 4G MB860,$1.60,$9.60,$11.20
10301,LG Neon II GW370,[],$0.80,$0.80
10303,Motrola Atrix 4G MB860,$1.60,$9.60,$11.20
10320,Apple iPad 2 16gb Wifi,$16,$106.40,$106.40
10319,Apple iPad 2 16gb WiFi + 3G (AT&T),$20.80,$104,$104.80
10322,Apple iPad 2 16gb WiFi + 3G (Verizon),$16,$104,$104.80
10320,Apple iPad 2 16gb Wifi,$16,$106.40,$106.40
10323,Apple iPad 2 32gb WiFi + 3G (Verizon),$16,$109.60,$111.20
10326,Apple iPad 2 64gb WiFi,$21.60,$124,$124
10324,Apple iPad 2 64gb WiFi + 3G (Verizon),$15,$111,$111.75
10327,Apple iPad 2 64gb WiFi + 3G (AT&T),$16,$118.40,$119.20
10325,Apple iPad 2 32gb WiFi,$16,$116,$116
10352,BlackBerry Playbook 16GB,[],$12,$12
10373,LG G-Slate,[],$20,$20
12030,Sony PSP Slim,$0.80,$2.40,$2.40
12042,Sony PSP 3000,$2.40,$6.40,$6.40
12042,Sony PSP 3000,$2.40,$6.40,$6.40
12047,Sony PSP Go,$4,$4,$4
12076,Nintendo DS Lite,$2.40,$8,$8
12079,Nintendo DS,[],$5.60,$5.60
12436,Pantech Pocket P9060,[],$3.20,$3.20
12439,Samsung Galaxy S II Skyrocket SGH-I727,$6.40,$37.20,$37.20
12438,Samsung Stratosphere SCH-i405,[],$2.40,$5.60
12441,Motorola Droid XYBOARD 10.1 32GB,[],$28,$28
12444,Motorola Droid XYBOARD 8.2 32GB,[],$24,$24
12442,Motorola Droid XYBOARD 10.1 64GB,[],$32,$32
12445,Motorola Droid XYBOARD 10.1 16GB,[],$24,$24
12443,Motorola Droid XYBOARD 8.2 16GB,[],$24,$24
12449,LG DoublePlay C729,[],$3.16,$3.32
12447,Samsung Galaxy Tab 8.9 16GB Wifi,[],$24,$24
12448,Amazon Kindle Touch Wifi,[],$6.40,$6.40
12451,Samsung Exhibit II 4G SGH-T679,[],$9.60,$10.80
12459,LG MyTouch T 4G E739,$1.46,$3.25,$4.38
12460,Sony Xperia Ion  LT28AT,$8,$19.80,$19.80
12463,Samsung Galaxy S Blaze 4G SGH-T769,$4,$19.20,$23.20
12461,LG Viper LS840,[],$3.20,$3.20
12465,Samsung Galaxy Note GT-N7000,$13.77,$71.76,$77.90
12468,Nokia Lumia 900,$4.05,$16.38,$17.22
12467,Samsung Galaxy Note GT-I9220,$6.48,$39,$45.10
12470,Samsung Galaxy S II SGH-T989,$7.04,$45.82,$55.30
12468,Nokia Lumia 900,$4.05,$16.38,$17.22
12475,Motorola Droid 4 XT894,$3.24,$15.60,$16.40
12817,Samsung Focus 2 SGH-I667,$0.80,$6.40,$6.40
12847,Samsung Galaxy Exhilarate SGH-i577,[],$12.60,$25.20
12847,Samsung Galaxy Exhilarate SGH-i577,[],$12.60,$25.20
12851,Apple iPad 3rd Generation 32GB 4G (AT&T),$28,$140,$140
12851,Apple iPad 3rd Generation 32GB 4G (AT&T),$28,$140,$140
12854,Apple iPad 3rd Generation 64GB Wifi,$27.20,$131.25,$131.25
12857,Apple iPad 3rd Generation 32GB Wifi,$28,$136.80,$136.80
12855,Apple iPad 3rd Generation 16GB 4G (AT&T),$26.40,$130.40,$130.40
12858,Apple iPad 3rd Generation 64GB 4G (Verizon),$28,$123.75,$123.75
12856,Apple iPad 3rd Generation 64GB 4G (AT&T),$29.60,$144,$144
12859,Apple iPad 3rd Generation 32GB 4G (Verizon),$28,$134.40,$134.40
12860,Acer Iconia Tab A100  7-inch 8GB,[],$12,$12
12861,Acer Iconia Tab A100  7-inch 16GB,[],$16,$16
12899,Samsung Galaxy Tab 8.9 16GB 3G (Unlocked),[],$28,$28
12900,Samsung Galaxy Tab 8.9 32GB 3G (Unlocked),$4,$32,$32
12903,Asus Eee Pad Slider 16GB,[],$28,$28
12901,Samsung Galaxy Tab 8.9 32GB Wifi and 3G,$4,$40,$40
12913,Toshiba Thrive 10.1 Inch 16GB AT105-T1016,[],$24,$24
12914,Sony Tablet S 32GB SGPT112,[],$20,$20
12912,Toshiba Thrive 10.1 Inch 32GB AT105-T1032,[],$24,$24
12915,Sony Tablet S 16GB SGPT111,[],$20,$40
12916,Samsung Series 7 11.6 Inch 128GB Slate XE700T1A-A03US,$20,$140,$140
12917,Samsung Series 7 11.6 Inch 64GB Slate XE700T1A-A01US,$20,$128,$128
12923,Lenovo IdeaPad K1,[],$24,$24
12922,Vizio 8 Inch WiFi VTAB1008,[],$12,$12
12928,Lenovo ThinkPad 64GB WiFi,$1.60,$52,$54.40
12926,Lenovo ThinkPad 16GB WiFi,[],$28,$28
12927,Lenovo ThinkPad 32GB WiFi,$4,$36,$36
12934,"Samsung Galaxy Tab 2 GT-P3113 8GB, Wi-Fi, 7in",[],$16,$16
12936,LG Optimus Black P970,[],$11.70,$12.30
12955,Samsung Galaxy Ace S5830,[],$7.20,$7.20
12958,Samsung Galaxy R I9103 ,[],$24,$24
12961,Samsung Matrix SPH-N270,[],$44,$44
12972,HTC Rezound ADR6425,$6.30,$23.80,$25.90
13035,Motorola Droid RAZR XT910,[],$21.60,$23.40
13036,Motorola Atrix HD MB886,$6.09,$26.88,$32.19
13047,Samsung  Brightside SCH-U380,[],$3.20,$4
13316,Apple MacBook Pro Core i5 2.53ghz 17in 256GB SSD Super Drive,$40,$160,$160
13316,Apple MacBook Pro Core i5 2.53ghz 17in 256GB SSD Super Drive,$40,$160,$160
13319,Apple MacBook Pro Core i7 2.66ghz 17in 500GB Super Drive,$20,$68,$120
13317,Apple MacBook Pro Core i5 2.53ghz 17in 128GB SSD Super Drive,$40,$160,$160
13324,Apple MacBook Pro Core i5 2.53ghz 17in 512GB SSD Super Drive,$40,$160,$160
13325,Apple MacBook Pro Core i5 2.53ghz 17in 500GB Super Drive,$40,$160,$160
13326,Apple MacBook Pro Core 2 Duo T9500 2.5GHZ 17in 250GB Super Drive,$8,$24,$32
13338,Apple MacBook Pro Intel Quad-Core i7 2.3GHz 17in SuperDrive 750GB,$40,$140,$200
13336,Apple MacBook Pro Intel Quad-Core i7 2.3GHz 17in SuperDrive 500GB,$40,$140,$200
13339,Apple MacBook Pro Intel Quad-Core i7 2.3GHz 17in SuperDrive 256GB SSD,$24,$120,$180
13337,Apple MacBook Pro Intel Quad-Core i7 2.3GHz 17in SuperDrive 512GB SSD,$40,$140,$200
13348,Apple MacBook Pro Intel Quad-Core i7 2.2GHz 17in SuperDrive 500GB,$40,$140,$200
13347,Apple MacBook Pro Intel Quad-Core i7 2.2GHz 17in SuperDrive 750GB,$40,$140,$200
13350,Apple MacBook Pro Intel Core 2 Duo 2.33ghz 17in 160gb Super Drive,$1.60,$12,$16
13354,Apple MacBook Pro Intel Quad-Core i7 2.2GHz 17in SuperDrive 128GB SSD,$40,$140,$200
13352,Apple MacBook Pro Intel Quad-Core i7 2.2GHz 17in SuperDrive 256GB SSD,$40,$140,$200
13362,Apple MacBook Pro Intel Core 2 Duo 2.4GHz 17in DVD-Writer 160GB,$1.60,$12,$16
13366,Apple MacBook Pro 15in Intel Quad-Core i7 2.2GHz SuperDrive 256GB SSD,$56,$400,$400
13373,Apple MacBook Pro Intel Core 2 Duo 2.5GHz 17in DVD SuperDrive 320GB,$1.60,$12,$16
13373,Apple MacBook Pro Intel Core 2 Duo 2.5GHz 17in DVD SuperDrive 320GB,$1.60,$12,$16
13396,Apple MacBook Pro Intel Core Duo 2.16GHz 17in DVD-Writer 120GB,$1.60,$12,$16
13406,Apple MacBook Pro Intel Core 2 Duo T7600 2.33GHz 17in Super Drive 120GB,$1.60,$12,$16
13406,Apple MacBook Pro Intel Core 2 Duo T7600 2.33GHz 17in Super Drive 120GB,$1.60,$12,$16
13410,Apple MacBook Pro Intel Core 2 Duo 2.66GHz 17in SuperDrive 320GB,$1.60,$12,$16
13417,Apple MacBook Pro Intel Core 2 Duo 2.93GHz 17in SuperDrive 320GB,$1.60,$12,$16
13415,Apple MacBook Pro Intel Core 2 Duo 3.06GHz 17in SuperDrive 500GB,$1.60,$12,$16
13418,Apple MacBook Pro Intel Core 2 Duo 2.6GHz 17in Super Drive 200GB,$1.60,$12,$16
13416,Apple MacBook Pro Intel Core 2 Duo 2.8GHz 17in SuperDrive 500GB,$1.60,$12,$16
13447,Apple MacBook Air 13in Intel Core i7 1.8GHz 256GB SSD (Mid 2011),$60,$320,$320
13463,Apple MacBook Pro 15in Intel Core 2 Duo 3.06GHz SD Unibody 320GB HD SuperDrive,$4,$16,$20
13467,Apple MacBook Pro 17in Intel Core 2 Duo 2.66GHz Unibody 256GB SSD SuperDrive,$8,$40,$48
13465,Apple MacBook Pro 15in Intel Core 2 Duo 3.06GHz SD Unibody 256GB SSD SuperDrive,$4,$16,$20
13468,Apple MacBook Pro 17in Intel Core 2 Duo 2.93GHz Unibody 128GB SSD SuperDrive,$4,$16,$20
13466,Apple MacBook Pro 17in Intel Core 2 Duo 2.66GHz Unibody 128GB SSD SuperDrive,$4,$16,$20
13469,Apple MacBook Pro 17in Intel Core 2 Duo 2.93GHz Unibody 256GB SSD SuperDrive,$4,$16,$20
13624,Sony PS VITA W- WIFI,$8,$44,$44
13625,Sony PS VITA W- WIFI & 3G,$8,$48,$48
13639,BlackBerry Bold 9900 (AT&T),$14.40,$39.90,$39.90
13637,HTC EVO Design 4G X715C (Other Carrier),[],$4.80,$4.80
13640,BlackBerry Bold 9900 (T-Mobile),$15.84,$46.17,$49.59
13638,HTC EVO Design 4G X715C (Sprint),[],$4.80,$5.40
13641,BlackBerry Bold 9930 (Sprint),$9.68,$34.02,$36.54
13642,BlackBerry Bold 9930 (Verizon),$8.80,$34.02,$36.54
13654,BlackBerry Bold 9650 (Sprint),$0.80,$2.40,$2.40
13652,BlackBerry 9360 Curve (T-Mobile),$4.15,$7.48,$9.24
13655,BlackBerry Bold 9650 (Verizon),$0.80,$2.40,$2.40
13653,BlackBerry Bold 9650 (Other Carrier),$0.88,$2.43,$2.61
13666,BlackBerry Curve 8520 (AT&T),$1.60,$8,$8
13667,BlackBerry Curve 8520 (T-Mobile),$3.52,$8.10,$8.70
13671,BlackBerry Curve 8900 (AT&T),$1.76,$1.62,$1.74
13672,BlackBerry Curve 8900 (T-Mobile),$1.60,$1.60,$1.60
13675,BlackBerry Curve 9360 (AT&T),$3.20,$10.40,$10.40
13685,BlackBerry Torch 9810 (AT&T),$4.80,$13.80,$13.80
13686,BlackBerry Torch 9810 (T-Mobile),$9,$23.80,$23.80
13689,BlackBerry Torch 9850 (Verizon),$2.64,$9.72,$10.44
13687,BlackBerry Torch 9850 (Other Carrier),$2.64,$8.91,$9.57
13688,BlackBerry Torch 9850 (Sprint),$2.64,$8.91,$9.57
13696,Dell Venue (AT&T),[],$8,$16
13697,Dell Venue (T-Mobile),[],$4,$16
13704,HTC Pro 7 (Other Carrier),[],$1.60,$1.60
13714,LG Cosmos VN250 (Verizon),[],$3.20,$4
13741,Motorola Photon 4G MB855 (Other Carrier),$2.40,$8,$8
13742,Motorola Photon 4G MB855 (Sprint),$2.61,$13.44,$13.92
13765,Samsung Droid Charge SCH-I510 (Verizon),$4.80,$9.60,$9.60
13766,Samsung Fascinate SCH-i500 (Verizon),$1.62,$9.36,$9.84
13767,Samsung Galaxy S III SCH-I535(Verizon),$15.77,$59.94,$55.08
13770,Samsung Galaxy S III SGH-T999 (T-Mobile),$22.04,$94.83,$88
13768,Samsung Galaxy S III SCH-R530 (Other Carrier),$7.29,$34.20,$36
13771,Samsung Galaxy S III SPH-L710  (Sprint),$12.15,$56.94,$67.24
13769,Samsung Galaxy S III SGH-I747 (AT&T),$21.45,$93.28,$101.64
13778,Samsung Showcase SCH-i500 (Other Carrier),$1.60,$6.40,$6.40
13779,Samsung Showcase SCH-i500 (Verizon),$1.62,$7.80,$8.20
13786,Sony-Ericsson Xperia Play (AT&T),$5.60,$7.20,$7.20
13790,Apple iPhone 5 16GB (AT&T),$96.28,$162,$187.92
13788,LG Marquee LS855 (Sprint),[],$3.20,$3.20
13791,Apple iPhone 5 32GB (AT&T),$87.32,$170,$183.60
13792,Apple iPhone 5 64GB (AT&T),$79.18,$188.70,$188.70
13795,Apple iPhone 5 64GB (Verizon),$89.28,$213.35,$228.60
13793,Apple iPhone 5 16GB (Verizon),$93.10,$192.80,$192.80
13796,Apple iPhone 5 16GB (Sprint),$48.30,$124,$124
13794,Apple iPhone 5 32GB (Verizon),$89.28,$204.85,$216.90
13797,Apple iPhone 5 32GB (Sprint),$45.54,$128.65,$140.27
13800,Motorola Droid RAZR M XT907,$8.10,$29.70,$31.54
13798,Apple iPhone 5 64GB (Sprint),$46.23,$139.44,$139.44
13801,Samsung Galaxy Victory SPH-L300,[],$4.50,$4.50
13799,LG Escape P870,[],$17.55,$22.63
13802,HTC Droid Incredible 4G AGR6410,$6.16,$23.70,$25.80
13805,Samsung Galaxy Stellar 4G SCH-i200,$0.80,$3.20,$8
13803,Samsung Galaxy S III GT-i9300,$14.58,$71.76,$84.46
13806,Samsung Galaxy S Relay 4G SGH-T699,[],$21.84,$22.96
13807,LG Intuition VS950,$7.30,$13,$14.60
13810,HTC Evo 4G LTE APX325CKT,$1.76,$15.80,$17.20
13808,BlackBerry Bold 9780 (AT&T),$4.40,$10.53,$11.31
13811,Motorola Photon Q 4G LTE,$1.74,$10.08,$13.05
13809,BlackBerry Bold 9700 (T-Mobile),$3.52,$10.53,$11.31
13820,Samsung Galaxy S II SCH-R760 (U.S. Cellular),$3.24,$13.26,$14.76
13821,LG Spectrum 2 LG-VS930,$2.19,$24.05,$27.74
13822,LG G2X,$2.19,$15.60,$18.98
13825,Samsung Galaxy Note II SCH-i605,$25.80,$88.80,$102.35
13823,Motorola Droid RAZR MAXX HD,$11.18,$70.47,$76.56
13826,Samsung Galaxy Note II SGH-T889,$25.20,$127.50,$130.20
13824,Samsung Galaxy Note II SGH-i317,$26.04,$111.39,$131.97
13827,Nokia Lumia 920,$4.45,$39.10,$39.10
13828,Nokia Lumia 822,$5.34,$17.85,$17.85
13833,Nintendo Wii U 8GB Basic Set,$12,$56,$56
13834,Nintendo Wii U 32GB Deluxe Set,$12,$56,$56
13837,Nintendo Gameboy Advance Micro,$0.80,$2.40,$2.40
13840,Nintendo Gameboy Color,[],$4,$4
13841,Nintendo 3DS XL,$16,$44,$45.60
13845,HTC Windows Phone 8x (T-Mobile),$6.16,$29.23,$31.82
13843,HTC Windows Phone 8x (AT&T),$8.80,$27.65,$30.10
13846,HTC Windows Phone 8x (Verizon),$5.28,$30.81,$33.54
13844,HTC One VX,$2.64,$37.92,$44.72
13847,LG Optimus G E970 ,$4.38,$47.45,$59.13
13850,LG Optimus G LS970,$1.46,$22.10,$32.12
13849,LG Nexus 4 E960,$15.33,$63.70,$76.65
13852,LG Optimus L9,$1.74,$23.40,$26.40
13853,Nokia Lumia 810,[],$25.50,$25.50
13854,Pantech Flex,[],$12,$12
13857,Samsung Galaxy Express SGH-i437,$2.43,$24.18,$26.24
13860,Apple iPod Touch 5th Generation 32GB ,$31.32,$78.20,$82.80
13858,Samsung Galaxy Note II SPH-R950 (U.S. Cellular),$13.77,$42.12,$44.28
13861,Apple iPod Nano 7th Generation 16GB ,[],$29.25,$29.25
13859,Samsung Galaxy Note II SPH-L900 (Sprint),$22.10,$71.71,$77.77
13862,Apple iPod Touch 5th Generation 64GB ,$28.80,$105,$105
13866,HTC Evo V (Virgin Mobile),[],$4.80,$4.80
13867,HTC Droid DNA,$23.76,$75.84,$87.72
13866,HTC Evo V (Virgin Mobile),[],$4.80,$4.80
13872,LG Optimus 3D Max P720,[],$4,$4
13870,LG Optimus L9 P760,[],$16.25,$20.44
13871,LG Optimus 4X HD P880,[],$13,$18.25
13880,LG Splendor US730,[],$1.40,$1.40
13884,Samsung Galaxy Rugby Pro SGH-i547,$8.10,$32.76,$34.44
13885,Samsung Galaxy Note SGH-T879,$4.05,$55.38,$59.86
13889,Samsung Galaxy S Aviator SCH-R930,[],$0.80,$0.80
13893,Samsung Galaxy Nexus SPH-L700,$1.62,$7.02,$9.02
13897,Apple iPad 4th Generation 64GB WiFi + 4G (AT&T),[],$200.80,$200.80
13895,Apple iPad 4th Generation 16GB WiFi + 4G (AT&T),$39.20,$144.75,$155.25
13898,Apple iPad 4th Generation 128GB WiFi + 4G (AT&T),[],$222.70,$222.70
13896,Apple iPad 4th Generation 32GB WiFi + 4G (AT&T),$36.80,$180.80,$180.80
13899,Apple iPad 4th Generation 16GB WiFi + 4G (Sprint),[],$146.40,$146.40
13902,Apple iPad 4th Generation 128GB WiFi + 4G (Sprint),[],$208.25,$208.25
13900,Apple iPad 4th Generation 32GB WiFi + 4G (Sprint),[],$144.80,$144.80
13903,Apple iPad 4th Generation 16GB WiFi + 4G (Verizon),$35.20,$174.40,$174.40
13901,Apple iPad 4th Generation 64GB WiFi + 4G (Sprint),[],$140.80,$140.80
13904,Apple iPad 4th Generation 32GB WiFi + 4G (Verizon),$30.40,$151.20,$152
13907,Apple iPad 4th Generation 16GB WiFi ,$28.80,$157.50,$157.50
13905,Apple iPad 4th Generation 64GB WiFi + 4G (Verizon),$39.10,$193.80,$193.80
13908,Apple iPad 4th Generation 32GB WiFi ,$36,$188,$188
13906,Apple iPad 4th Generation 128GB WiFi + 4G (Verizon),[],$198.05,$198.05
13909,Apple iPad 4th Generation 64GB WiFi ,$42.40,$213.60,$213.60
13910,Apple iPad 4th Generation 128GB WiFi ,$14,$255,$255
13922,Apple iPad Mini  64GB WiFi,[],$160,$72
13920,Apple iPad Mini  16GB WiFi,$16.80,$88,$88
13923,Apple iPhone 4S 16GB (Other Carrier),$23.10,$71.28,$72.90
13921,Apple iPad Mini  32GB WiFi,$12,$124,$124
13924,Apple iPhone 4S 32GB (Other Carrier),$28.16,$69.72,$69.72
13927,Apple iPhone 5 16GB (Other Carrier),$45.26,$89.10,$108.75
13925,Apple iPhone 4S 64GB (Other Carrier),$28.16,$55.44,$67.20
13928,Apple iPhone 5 32GB (Other Carrier),$41.04,$101.25,$116.10
13926,Apple iPhone 4 8GB (Other Carrier),$10.80,$32.93,$32.93
13929,Apple iPhone 5 64GB (Other Carrier),$43.92,$81,$107.50
13932,Microsoft Surface Pro 64GB,[],$100,$100
13930,Microsoft Surface RT 32GB,[],$72,$72
13933,Microsoft Surface Pro 128GB,[],$108,$108
13931,Microsoft Surface RT 64GB,[],$88,$90.40
13959,Apple iPhone 4 8GB (T-Mobile),$13.92,$51.48,$54.78
13962,Apple iPhone 5 32GB (T-Mobile),$54.75,$129.50,$157.25
13960,Apple iPhone 4S 16GB (T-Mobile),$42,$103.74,$109.06
13963,Apple iPhone 5 64GB (T-Mobile),$43.80,$129.50,$157.25
13961,Apple iPhone 5 16GB (T-Mobile),$67.50,$119.60,$158.24
13964,BlackBerry Curve 9315 (T-Mobile),[],$5.60,$5.60
13967,BlackBerry Z10 4G (Verizon),$11.44,$77.76,$83.52
13965,BlackBerry Z10 4G (T-Mobile),$10.56,$67.23,$87.87
13966,BlackBerry Z10 4G (AT&T),$10.56,$67.23,$72.21
13969,HTC First (AT&T),$2.64,$34.76,$39.56
13972,HTC One (T-Mobile),$29.75,$114.75,$134.85
13970,HTC One (AT&T),$23.52,$103.49,$123.12
13971,HTC One (Sprint),$18,$70.20,$88.20
13974,HTC One X+,$16.72,$68.73,$80.84
13992,LG Nexus 4 (T-Mobile),$14.60,$63.05,$72.27
13991,LG Lucid2 VS870,[],$12.35,$15.33
13998,LG Spirit 4G MS870,[],$6.50,$7.30
14002,Motorola RAZR HD XT926,$11.31,$44.52,$58.29
14000,Motorola Electrify 2 XT881,[],$11.76,$13.92
14003,Nokia Lumia 820,[],$18.70,$22.10
14001,Motorola Electrify M XT901,[],$6.30,$6.30
14004,Pantech Discover 4G,[],$26.40,$26.40
14012,Samsung ATIV Odyssey SCH-I930,[],$4.80,$4.80
14018,Samsung Galaxy S II 4G GT-I9210T (Virgin Mobile),[],$3.90,$4.10
14019,Samsung Galaxy S4 SCH-I545 (Verizon),$48.24,$127.10,$142.80
14022,Samsung Galaxy S4 SGH-M919 (T-Mobile),$61.41,$136.80,$159.60
14020,Samsung Galaxy S4 SCH-R970 (Other Carrier),$16.20,$71.25,$71.25
14023,Samsung Galaxy S4 SPH-L720 (Sprint),$58.50,$133.50,$139.50
14021,Samsung Galaxy S4 SGH-I337 (AT&T),$47.88,$118.68,$164.26
