14166,"",0,LG Optimus Pad LTE,LG Optimus Pad LTE,"",1,"Condition:Broken,Good,Flawless",0|24|32
14169,"",0,Sony Xperia Tablet Z 32GB,Sony Xperia Tablet Z 32GB,"",1,"Condition:Broken,Good,Flawless",0|108|124
14167,"",0,LG Optimus Pad,LG Optimus Pad,"",1,"Condition:Broken,Good,Flawless",0|16|16
14168,"",0,Sony Xperia Tablet Z 16GB,Sony Xperia Tablet Z 16GB,"",1,"Condition:Broken,Good,Flawless",0|78|86
14174,"",0,Nintendo 2DS,Nintendo 2DS,"",1,"Condition:Broken,Good,Flawless",10|28|28
14194,"",0,LG Nexus 5 (T-Mobile),LG Nexus 5 (T-Mobile),"",1,"Condition:Broken,Good,Flawless",36|122|134
14195,"",0,LG Nexus 5 (Sprint),LG Nexus 5 (Sprint),"",1,"Condition:Broken,Good,Flawless",26|88|104
14199,"",0,"Kindle Fire HDX 7"" 16GB Wi-Fi","Kindle Fire HDX 7"" 16GB Wi-Fi","",1,"Condition:Broken,Good,Flawless",0|4|12
14200,"",0,"Kindle Fire HDX 7"" 32GB Wi-Fi","Kindle Fire HDX 7"" 32GB Wi-Fi","",1,"Condition:Broken,Good,Flawless",0|8|12
14202,"",0,"Kindle Fire HDX 8.9"" 16GB Wi-Fi","Kindle Fire HDX 8.9"" 16GB Wi-Fi","",1,"Condition:Broken,Good,Flawless",0|8|12
14203,"",0,"Kindle Fire HDX 8.9"" 32GB Wi-Fi","Kindle Fire HDX 8.9"" 32GB Wi-Fi","",1,"Condition:Broken,Good,Flawless",0|8|12
13786,"",0,Sony-Ericsson Xperia Play (AT&T),"","",1,"Condition:Broken,Good,Flawless",6|6|6
13799,"",0,LG Escape P870,"","",1,"Condition:Broken,Good,Flawless",0|16|20
13807,"",0,LG Intuition VS950,"","",1,"Condition:Broken,Good,Flawless",8|12|14
13822,"",0,LG G2X,"","",1,"Condition:Broken,Good,Flawless",2|16|16
13821,"",0,LG Spectrum 2 LG-VS930,"","",1,"Condition:Broken,Good,Flawless",2|22|26
13833,"",0,Nintendo Wii U 8GB Basic Set,"","",1,"Condition:Broken,Good,Flawless",12|54|54
13834,"",0,Nintendo Wii U 32GB Deluxe Set,"","",1,"Condition:Broken,Good,Flawless",12|54|54
13837,"",0,Nintendo Gameboy Advance Micro,"","",1,"Condition:Broken,Good,Flawless",0|2|2
13840,"",0,Nintendo Gameboy Color,"","",1,"Condition:Broken,Good,Flawless",0|4|4
13841,"",0,Nintendo 3DS XL,"","",1,"Condition:Broken,Good,Flawless",16|42|44
13847,"",0,LG Optimus G E970 ,"","",1,"Condition:Broken,Good,Flawless",4|50|58
13849,"",0,LG Nexus 4 E960,"","",1,"Condition:Broken,Good,Flawless",14|66|76
13852,"",0,LG Optimus L9,"","",1,"Condition:Broken,Good,Flawless",0|22|26
13850,"",0,LG Optimus G LS970,"","",1,"Condition:Broken,Good,Flawless",0|20|30
13854,"",0,Pantech Flex,"","",1,"Condition:Broken,Good,Flawless",0|14|14
13871,"",0,LG Optimus 4X HD P880,"","",1,"Condition:Broken,Good,Flawless",0|6|8
13872,"",0,LG Optimus 3D Max P720,"","",1,"Condition:Broken,Good,Flawless",0|4|4
13870,"",0,LG Optimus L9 P760,"","",1,"Condition:Broken,Good,Flawless",0|14|18
13931,"",0,Microsoft Surface RT 64GB,"","",1,"Condition:Broken,Good,Flawless",8|52|60
13932,"",0,Microsoft Surface Pro 64GB,"","",1,"Condition:Broken,Good,Flawless",8|78|78
13930,"",0,Microsoft Surface RT 32GB,"","",1,"Condition:Broken,Good,Flawless",8|64|64
13933,"",0,Microsoft Surface Pro 128GB,"","",1,"Condition:Broken,Good,Flawless",8|98|98
13937,"",0,Google Nexus 7  8 GB  WiFi,"","",1,"Condition:Broken,Good,Flawless",0|20|28
13938,"",0,Google Nexus 7 16 GB WiFi,"","",1,"Condition:Broken,Good,Flawless",0|20|28
13939,"",0,Google Nexus 7 32 GB - WiFi,"","",1,"Condition:Broken,Good,Flawless",0|20|28
13940,"",0,Google Nexus 7 32 GB WiFi +  4G  (AT&T),"","",1,"Condition:Broken,Good,Flawless",0|20|28
13991,"",0,LG Lucid2 VS870,"","",1,"Condition:Broken,Good,Flawless",0|12|14
13992,"",0,LG Nexus 4 (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",14|60|68
13998,"",0,LG Spirit 4G MS870,"","",1,"Condition:Broken,Good,Flawless",0|6|8
14004,"",0,Pantech Discover 4G,"","",1,"Condition:Broken,Good,Flawless",0|24|24
14031,"",0,Sony Xperia TL 4G LT30AT,"","",1,"Condition:Broken,Good,Flawless",8|24|24
14078,"",0,LG Optimus G Pro ,"","",1,"Condition:Broken,Good,Flawless",18|82|98
14095,"",0,LG G2 (AT&T),"","",1,"Condition:Broken,Good,Flawless",30|102|106
14096,"",0,LG G2 (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",22|76|120
14116,"",0,Microsoft Surface 2 32GB,"","",1,"Condition:Broken,Good,Flawless",0|98|98
14119,"",0,Microsoft Surface Pro 2 128GB,"","",1,"Condition:Broken,Good,Flawless",0|234|234
14117,"",0,Microsoft Surface 2 64GB,"","",1,"Condition:Broken,Good,Flawless",0|110|110
14120,"",0,Microsoft Surface Pro 2 256GB,"","",1,"Condition:Broken,Good,Flawless",0|310|310
14118,"",0,Microsoft Surface Pro 2 64GB,"","",1,"Condition:Broken,Good,Flawless",0|172|172
14121,"",0,Microsoft Surface Pro 2 512GB,"","",1,"Condition:Broken,Good,Flawless",0|350|350
14132,"",0,"Asus VivoTab 11.6""","","",1,"Condition:Broken,Good,Flawless",0|62|62
14135,"",0,Google Nexus 10 32GB,"","",1,"Condition:Broken,Good,Flawless",0|32|32
14163,"",0,Lenovo ThinkPad Tablet 2 64GB,"","",1,"Condition:Broken,Good,Flawless",0|68|68
14166,"",0,LG Optimus Pad LTE,"","",1,"Condition:Broken,Good,Flawless",0|24|32
14169,"",0,Sony Xperia Tablet Z 32GB,"","",1,"Condition:Broken,Good,Flawless",0|108|124
14167,"",0,LG Optimus Pad,"","",1,"Condition:Broken,Good,Flawless",0|16|16
14168,"",0,Sony Xperia Tablet Z 16GB,"","",1,"Condition:Broken,Good,Flawless",0|78|86
14174,"",0,Nintendo 2DS,"","",1,"Condition:Broken,Good,Flawless",10|28|28
14194,"",0,LG Nexus 5 (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",36|122|134
14195,"",0,LG Nexus 5 (Sprint),"","",1,"Condition:Broken,Good,Flawless",26|88|104
14199,"",0,"Kindle Fire HDX 7"" 16GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|4|12
14200,"",0,"Kindle Fire HDX 7"" 32GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|8|12
14202,"",0,"Kindle Fire HDX 8.9"" 16GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|8|12
14203,"",0,"Kindle Fire HDX 8.9"" 32GB Wi-Fi","","",1,"Condition:Broken,Good,Flawless",0|8|12
320,"",0,Casio gzOne Rock c731,"","",1,"Condition:Broken,Good,Flawless",0|4|4
323,"",0,Dell Streak 5,"","",1,"Condition:Broken,Good,Flawless",0|2|2
321,"",0,Casio gzOne Brigade C741,"","",1,"Condition:Broken,Good,Flawless",0|4|14
1165,"",0,LG  Pop GD510,"","",1,"Condition:Broken,Good,Flawless",0|2|2
4710,"",0,LG dLite GD570,"","",1,"Condition:Broken,Good,Flawless",0|8|8
4886,"",0,Microsoft Zune 30GB,"","",1,"Condition:Broken,Good,Flawless",2|14|14
4897,"",0,Microsoft Zune 80GB 2nd Generation,"","",1,"Condition:Broken,Good,Flawless",2|14|14
4909,"",0,Microsoft Zune 2nd GEN 120GB,"","",1,"Condition:Broken,Good,Flawless",4|10|10
4914,"",0,Microsoft Zune HD 16GB,"","",1,"Condition:Broken,Good,Flawless",0|16|16
4963,"",0,Microsoft Zune HD 32GB,"","",1,"Condition:Broken,Good,Flawless",0|24|24
4998,"",0,Microsoft Zune 2nd GEN 16GB ,"","",1,"Condition:Broken,Good,Flawless",0|10|10
6930,"",0,Microsoft Zune HD 64GB,"","",1,"Condition:Broken,Good,Flawless",10|36|36
6930,"",0,Microsoft Zune HD 64GB,"","",1,"Condition:Broken,Good,Flawless",10|36|36
7103,"",0,LG Quantum C900,"","",1,"Condition:Broken,Good,Flawless",0|4|4
7111,"",0,LG Octane VN530,"","",1,"Condition:Broken,Good,Flawless",0|4|4
7167,"",0,Dell Venue Pro,"","",1,"Condition:Broken,Good,Flawless",0|4|12
7248,"",0,HP Slate 500 1.86ghz 64GB,"","",1,"Condition:Broken,Good,Flawless",0|28|28
7246,"",0,Asus Eee Slate 12.1-inch 32GB,"","",1,"Condition:Broken,Good,Flawless",4|54|54
7247,"",0,Asus Eee Slate  12.1-inch 64GB,"","",1,"Condition:Broken,Good,Flawless",4|70|70
7303,"",0,Amazon Kindle DX Graphite,"","",1,"Condition:Broken,Good,Flawless",0|12|12
7303,"",0,Amazon Kindle DX Graphite,"","",1,"Condition:Broken,Good,Flawless",0|12|12
7304,"",0,Amazon Kindle 3 WiFi,"","",1,"Condition:Broken,Good,Flawless",0|6|6
7307,"",0,Amazon Kindle DX,"","",1,"Condition:Broken,Good,Flawless",0|12|12
7319,"",0,Barnes & Noble Nook Color,"","",1,"Condition:Broken,Good,Flawless",0|0|0
7320,"",0,Barnes & Noble Nook WiFi + 3G,"","",1,"Condition:Broken,Good,Flawless",0|0|0
10303,"",0,Motrola Atrix 4G MB860,"","",1,"Condition:Broken,Good,Flawless",2|10|10
10301,"",0,LG Neon II GW370,"","",1,"Condition:Broken,Good,Flawless",0|0|0
10303,"",0,Motrola Atrix 4G MB860,"","",1,"Condition:Broken,Good,Flawless",2|10|10
10373,"",0,LG G-Slate,"","",1,"Condition:Broken,Good,Flawless",0|20|20
12030,"",0,Sony PSP Slim,"","",1,"Condition:Broken,Good,Flawless",0|2|2
12042,"",0,Sony PSP 3000,"","",1,"Condition:Broken,Good,Flawless",2|6|6
12042,"",0,Sony PSP 3000,"","",1,"Condition:Broken,Good,Flawless",2|6|6
12047,"",0,Sony PSP Go,"","",1,"Condition:Broken,Good,Flawless",4|4|4
12076,"",0,Nintendo DS Lite,"","",1,"Condition:Broken,Good,Flawless",2|8|8
12079,"",0,Nintendo DS,"","",1,"Condition:Broken,Good,Flawless",0|6|6
12436,"",0,Pantech Pocket P9060,"","",1,"Condition:Broken,Good,Flawless",0|4|4
12449,"",0,LG DoublePlay C729,"","",1,"Condition:Broken,Good,Flawless",0|4|4
12448,"",0,Amazon Kindle Touch Wifi,"","",1,"Condition:Broken,Good,Flawless",0|6|6
12459,"",0,LG MyTouch T 4G E739,"","",1,"Condition:Broken,Good,Flawless",2|4|4
12460,"",0,Sony Xperia Ion  LT28AT,"","",1,"Condition:Broken,Good,Flawless",8|20|20
12461,"",0,LG Viper LS840,"","",1,"Condition:Broken,Good,Flawless",0|4|4
12860,"",0,Acer Iconia Tab A100  7-inch 8GB,"","",1,"Condition:Broken,Good,Flawless",0|12|12
12861,"",0,Acer Iconia Tab A100  7-inch 16GB,"","",1,"Condition:Broken,Good,Flawless",0|16|16
12903,"",0,Asus Eee Pad Slider 16GB,"","",1,"Condition:Broken,Good,Flawless",0|28|28
12913,"",0,Toshiba Thrive 10.1 Inch 16GB AT105-T1016,"","",1,"Condition:Broken,Good,Flawless",0|24|24
12914,"",0,Sony Tablet S 32GB SGPT112,"","",1,"Condition:Broken,Good,Flawless",0|20|20
12912,"",0,Toshiba Thrive 10.1 Inch 32GB AT105-T1032,"","",1,"Condition:Broken,Good,Flawless",0|24|24
12915,"",0,Sony Tablet S 16GB SGPT111,"","",1,"Condition:Broken,Good,Flawless",0|20|38
12923,"",0,Lenovo IdeaPad K1,"","",1,"Condition:Broken,Good,Flawless",0|24|24
12922,"",0,Vizio 8 Inch WiFi VTAB1008,"","",1,"Condition:Broken,Good,Flawless",0|12|12
12928,"",0,Lenovo ThinkPad 64GB WiFi,"","",1,"Condition:Broken,Good,Flawless",2|50|52
12926,"",0,Lenovo ThinkPad 16GB WiFi,"","",1,"Condition:Broken,Good,Flawless",0|28|28
12927,"",0,Lenovo ThinkPad 32GB WiFi,"","",1,"Condition:Broken,Good,Flawless",4|34|34
12936,"",0,LG Optimus Black P970,"","",1,"Condition:Broken,Good,Flawless",0|12|12
13624,"",0,Sony PS VITA W- WIFI,"","",1,"Condition:Broken,Good,Flawless",8|42|42
13625,"",0,Sony PS VITA W- WIFI & 3G,"","",1,"Condition:Broken,Good,Flawless",8|46|46
13696,"",0,Dell Venue (AT&T),"","",1,"Condition:Broken,Good,Flawless",0|8|16
13697,"",0,Dell Venue (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",0|4|16
13714,"",0,LG Cosmos VN250 (Verizon),"","",1,"Condition:Broken,Good,Flawless",0|4|4
13786,"",0,Sony-Ericsson Xperia Play (AT&T),"","",1,"Condition:Broken,Good,Flawless",6|6|6
13788,"",0,LG Marquee LS855 (Sprint),"","",1,"Condition:Broken,Good,Flawless",0|4|4
13799,"",0,LG Escape P870,"","",1,"Condition:Broken,Good,Flawless",0|18|22
13807,"",0,LG Intuition VS950,"","",1,"Condition:Broken,Good,Flawless",8|12|14
13821,"",0,LG Spectrum 2 LG-VS930,"","",1,"Condition:Broken,Good,Flawless",2|24|26
13822,"",0,LG G2X,"","",1,"Condition:Broken,Good,Flawless",2|16|18
13833,"",0,Nintendo Wii U 8GB Basic Set,"","",1,"Condition:Broken,Good,Flawless",12|54|54
13834,"",0,Nintendo Wii U 32GB Deluxe Set,"","",1,"Condition:Broken,Good,Flawless",12|54|54
13837,"",0,Nintendo Gameboy Advance Micro,"","",1,"Condition:Broken,Good,Flawless",0|2|2
13840,"",0,Nintendo Gameboy Color,"","",1,"Condition:Broken,Good,Flawless",0|4|4
13841,"",0,Nintendo 3DS XL,"","",1,"Condition:Broken,Good,Flawless",16|42|44
13847,"",0,LG Optimus G E970 ,"","",1,"Condition:Broken,Good,Flawless",4|46|58
13850,"",0,LG Optimus G LS970,"","",1,"Condition:Broken,Good,Flawless",2|22|32
13849,"",0,LG Nexus 4 E960,"","",1,"Condition:Broken,Good,Flawless",14|62|74
13852,"",0,LG Optimus L9,"","",1,"Condition:Broken,Good,Flawless",2|22|26
13854,"",0,Pantech Flex,"","",1,"Condition:Broken,Good,Flawless",0|12|12
13872,"",0,LG Optimus 3D Max P720,"","",1,"Condition:Broken,Good,Flawless",0|4|4
13870,"",0,LG Optimus L9 P760,"","",1,"Condition:Broken,Good,Flawless",0|16|20
13871,"",0,LG Optimus 4X HD P880,"","",1,"Condition:Broken,Good,Flawless",0|12|18
13880,"",0,LG Splendor US730,"","",1,"Condition:Broken,Good,Flawless",0|2|2
13932,"",0,Microsoft Surface Pro 64GB,"","",1,"Condition:Broken,Good,Flawless",0|98|98
13930,"",0,Microsoft Surface RT 32GB,"","",1,"Condition:Broken,Good,Flawless",0|70|70
13933,"",0,Microsoft Surface Pro 128GB,"","",1,"Condition:Broken,Good,Flawless",0|104|104
13931,"",0,Microsoft Surface RT 64GB,"","",1,"Condition:Broken,Good,Flawless",0|86|88
13992,"",0,LG Nexus 4 (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",14|62|70
13991,"",0,LG Lucid2 VS870,"","",1,"Condition:Broken,Good,Flawless",0|12|14
13998,"",0,LG Spirit 4G MS870,"","",1,"Condition:Broken,Good,Flawless",0|6|8
14004,"",0,Pantech Discover 4G,"","",1,"Condition:Broken,Good,Flawless",0|26|26
14031,"",0,Sony Xperia TL 4G LT30AT,"","",1,"Condition:Broken,Good,Flawless",8|20|20
14078,"",0,LG Optimus G Pro ,"","",1,"Condition:Broken,Good,Flawless",18|76|100
14095,"",0,LG G2 (AT&T),"","",1,"Condition:Broken,Good,Flawless",34|84|82
14096,"",0,LG G2 (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",38|78|122
14116,"",0,Microsoft Surface 2 32GB,"","",1,"Condition:Broken,Good,Flawless",0|116|116
14117,"",0,Microsoft Surface 2 64GB,"","",1,"Condition:Broken,Good,Flawless",0|116|116
14120,"",0,Microsoft Surface Pro 2 256GB,"","",1,"Condition:Broken,Good,Flawless",0|330|330
14118,"",0,Microsoft Surface Pro 2 64GB,"","",1,"Condition:Broken,Good,Flawless",0|186|186
14121,"",0,Microsoft Surface Pro 2 512GB,"","",1,"Condition:Broken,Good,Flawless",0|380|380
14119,"",0,Microsoft Surface Pro 2 128GB,"","",1,"Condition:Broken,Good,Flawless",0|272|272
14122,"",0,Acer Iconia a700 16GB,"","",1,"Condition:Broken,Good,Flawless",0|16|16
14123,"",0,Acer Iconia a700 32GB,"","",1,"Condition:Broken,Good,Flawless",0|20|20
14124,"",0,Acer Iconia a700 64GB,"","",1,"Condition:Broken,Good,Flawless",0|22|22
14132,"",0,"Asus VivoTab 11.6""","","",1,"Condition:Broken,Good,Flawless",0|66|66
14133,"",0,"Asus Transformer Pad 300 10.1""","","",1,"Condition:Broken,Good,Flawless",0|16|16
14140,"",0,Toshiba AT300 16GB,"","",1,"Condition:Broken,Good,Flawless",0|10|10
14138,"",0,Toshiba Encore 32GB,"","",1,"Condition:Broken,Good,Flawless",0|32|32
14139,"",0,Toshiba Excite 10 SE 16GB,"","",1,"Condition:Broken,Good,Flawless",0|6|6
14150,"",0,Lenovo Yoga Tablet 10 32GB,"","",1,"Condition:Broken,Good,Flawless",0|36|46
14151,"",0,Lenovo IdeaTab A1000 8GB,"","",1,"Condition:Broken,Good,Flawless",0|8|8
14152,"",0,Lenovo IdeaTab A1000 16GB,"","",1,"Condition:Broken,Good,Flawless",0|42|46
14157,"",0,Lenovo Lenovo Miix 10 64GB,"","",1,"Condition:Broken,Good,Flawless",0|60|28
14160,"",0,Lenovo ThinkPad Helix 128GB with Mobile Broadband,"","",1,"Condition:Broken,Good,Flawless",0|96|100
14158,"",0,Lenovo IdeaTab Lynx 64GB,"","",1,"Condition:Broken,Good,Flawless",0|60|62
14161,"",0,Lenovo ThinkPad Helix 180GB,"","",1,"Condition:Broken,Good,Flawless",0|116|120
14159,"",0,Lenovo ThinkPad Helix 128GB,"","",1,"Condition:Broken,Good,Flawless",0|116|120
