id,SKU,price,name,description,available_on,shipping_category_id,option_types,variant_price
13919,"",0,Apple iPad Mini  64GB WiFi + 4G (Verizon),"","",1,"Condition:Broken,Good,Flawless",32|74|74
13922,"",0,Apple iPad Mini  64GB WiFi,"","",1,"Condition:Broken,Good,Flawless",18|112|112
13920,"",0,Apple iPad Mini  16GB WiFi,"","",1,"Condition:Broken,Good,Flawless",16|86|86
13923,"",0,Apple iPhone 4S 16GB (Other Carrier),"","",1,"Condition:Broken,Good,Flawless",16|70|70
13924,"",0,Apple iPhone 4S 32GB (Other Carrier),"","",1,"Condition:Broken,Good,Flawless",22|68|68
13927,"",0,Apple iPhone 5 16GB (Other Carrier),"","",1,"Condition:Broken,Good,Flawless",40|86|102
13925,"",0,Apple iPhone 4S 64GB (Other Carrier),"","",1,"Condition:Broken,Good,Flawless",24|62|62
13928,"",0,Apple iPhone 5 32GB (Other Carrier),"","",1,"Condition:Broken,Good,Flawless",38|98|104
13929,"",0,Apple iPhone 5 64GB (Other Carrier),"","",1,"Condition:Broken,Good,Flawless",38|94|100
13951,"",0,Samsung Series 7 Slate PC - 128 GB - Wi-Fi + 3G,"","",1,"Condition:Broken,Good,Flawless",0|116|116
13950,"",0,Samsung Series 7 Slate PC 128 GB Wi-Fi,"","",1,"Condition:Broken,Good,Flawless",0|140|140
13953,"",0,Samsung Series 7 Slate PC - 64 GB - Wi-Fi,"","",1,"Condition:Broken,Good,Flawless",0|114|114
13961,"",0,Apple iPhone 5 16GB (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",68|132|180
13962,"",0,Apple iPhone 5 32GB (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",54|142|182
13960,"",0,Apple iPhone 4S 16GB (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",40|110|116
13963,"",0,Apple iPhone 5 64GB (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",54|142|182
13966,"",0,BlackBerry Z10 4G (AT&T),"","",1,"Condition:Broken,Good,Flawless",14|66|78
13967,"",0,BlackBerry Z10 4G (Verizon),"","",1,"Condition:Broken,Good,Flawless",18|76|82
13965,"",0,BlackBerry Z10 4G (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",14|66|86
13971,"",0,HTC One (Sprint),"","",1,"Condition:Broken,Good,Flawless",18|68|86
13972,"",0,HTC One (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",38|120|152
13970,"",0,HTC One (AT&T),"","",1,"Condition:Broken,Good,Flawless",26|128|134
13974,"",0,HTC One X+,"","",1,"Condition:Broken,Good,Flawless",16|70|80
14002,"",0,Motorola RAZR HD XT926,"","",1,"Condition:Broken,Good,Flawless",10|52|54
14021,"",0,Samsung Galaxy S4 SGH-I337 (AT&T),"","",1,"Condition:Broken,Good,Flawless",44|114|158
14019,"",0,Samsung Galaxy S4 SCH-I545 (Verizon),"","",1,"Condition:Broken,Good,Flawless",44|136|146
14022,"",0,Samsung Galaxy S4 SGH-M919 (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",56|132|154
14020,"",0,Samsung Galaxy S4 SCH-R970 (Other Carrier),"","",1,"Condition:Broken,Good,Flawless",14|70|70
14023,"",0,Samsung Galaxy S4 SPH-L720 (Sprint),"","",1,"Condition:Broken,Good,Flawless",52|138|146
14041,"",0,Apple iPhone 5c 16GB (Sprint),"","",1,"Condition:Broken,Good,Flawless",52|66|68
14042,"",0,Apple iPhone 5c 16GB (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",52|146|146
14043,"",0,Apple iPhone 5c 16GB (AT&T),"","",1,"Condition:Broken,Good,Flawless",60|144|158
14046,"",0,Apple iPhone 5c 32GB (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",70|144|144
14044,"",0,Apple iPhone 5c 16GB (Verizon),"","",1,"Condition:Broken,Good,Flawless",110|184|200
14047,"",0,Apple iPhone 5c 32GB (AT&T),"","",1,"Condition:Broken,Good,Flawless",74|140|140
14045,"",0,Apple iPhone 5c 32GB (Sprint),"","",1,"Condition:Broken,Good,Flawless",52|94|110
14048,"",0,Apple iPhone 5c 32GB (Verizon),"","",1,"Condition:Broken,Good,Flawless",84|198|204
14051,"",0,Apple iPhone 5s 16GB (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",74|182|202
14049,"",0,Apple iPhone 5s 16GB (AT&T),"","",1,"Condition:Broken,Good,Flawless",88|220|226
14052,"",0,Apple iPhone 5s 16GB (Verizon),"","",1,"Condition:Broken,Good,Flawless",140|270|280
14050,"",0,Apple iPhone 5s 16GB (Sprint),"","",1,"Condition:Broken,Good,Flawless",70|166|166
14053,"",0,Apple iPhone 5s 32GB (AT&T),"","",1,"Condition:Broken,Good,Flawless",92|224|242
14056,"",0,Apple iPhone 5s 32GB (Verizon),"","",1,"Condition:Broken,Good,Flawless",82|256|286
14054,"",0,Apple iPhone 5s 32GB (Sprint),"","",1,"Condition:Broken,Good,Flawless",68|170|170
14057,"",0,Apple iPhone 5s 64GB (AT&T),"","",1,"Condition:Broken,Good,Flawless",102|218|236
14055,"",0,Apple iPhone 5s 32GB (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",86|194|216
14058,"",0,Apple iPhone 5s 64GB (Sprint),"","",1,"Condition:Broken,Good,Flawless",90|188|188
14061,"",0,Motorola Droid MAXX  XT1080M,"","",1,"Condition:Broken,Good,Flawless",28|110|118
14059,"",0,Apple iPhone 5s 64GB (T-Mobile),"","",1,"Condition:Broken,Good,Flawless",98|216|240
14062,"",0,Motorola Droid Mini  XT1030,"","",1,"Condition:Broken,Good,Flawless",8|48|66
14060,"",0,Apple iPhone 5s 64GB (Verizon),"","",1,"Condition:Broken,Good,Flawless",84|254|284
14063,"",0,Motorola Droid Ultra XT1080,"","",1,"Condition:Broken,Good,Flawless",20|52|88
14066,"",0,Motorola Moto X XT 1060,"","",1,"Condition:Broken,Good,Flawless",16|62|68
14064,"",0,Motorola Moto X (16GB) XT 1058,"","",1,"Condition:Broken,Good,Flawless",10|80|92
14065,"",0,Motorola Moto X (32GB) XT 1058,"","",1,"Condition:Broken,Good,Flawless",12|98|102
14071,"",0,Nokia Lumia 928,"","",1,"Condition:Broken,Good,Flawless",4|58|62
